Item Name,QTY,Price ($) ,Link,,,,,,,,,,,,,,,,Notes (if any)
DHT11 Sensor with LED module,1,0.6,https://robu.in/product/dht11-temperature-and-humidity-sensor-module-with-led/,,,,,,,,,,,,,,,,
Capcitive Soil Moisture Sensor,1,0.6,https://robu.in/product/capacitive-soil-moisture-sensor-v2-0/,,,,,,,,,,,,,,,,
D1 Mini,1,1.7,https://robu.in/product/d1-mini-v2-nodemcu-4m-bytes-lua-wifi-internet-of-things-development-board-based-esp8266/,,,,,,,,,,,,,,,,
Jumper Wires,10,0.2,https://robu.in/product/bread-board-jumper-wire-20-cm-x-20-female-to-female/,,,,,,,,,,,,,,,,
Pin Headers Male,2,0.3,https://zbotic.in/product/2-54mm-1x40-pin-male-single-row-straight-short-header-strip-pack-of-3/?srsltid=,,,,,,,,,,,,,,,,
Part_A (ASA),515g,5.15,https://www.hydrotech3dchennai.com/product-page/asa-filament-1-75mm-1kg-black?srsltid=AfmBOoo2sUPDoW7xXyvX4m-RwFWW_QUYlXO53ejwR8du2x80z9e4X4y3,,,,,,,,,,,,,,,,
Part_B (ASA),300g,3,https://www.hydrotech3dchennai.com/product-page/asa-filament-1-75mm-1kg-black?srsltid=AfmBOoo2sUPDoW7xXyvX4m-RwFWW_QUYlXO53ejwR8du2x80z9e4X4y3,,,,,,,,,,,,,,,,
Moisture Sensor Encasing,6g,0.06,https://www.hydrotech3dchennai.com/product-page/asa-filament-1-75mm-1kg-black?srsltid=AfmBOoo2sUPDoW7xXyvX4m-RwFWW_QUYlXO53ejwR8du2x80z9e4X4y3,,,,,,,,,,,,,,,,
DC Barrel Jack,1,0.25,https://robu.in/product/dc-barrel-jack-connector-without-base-plate,,,,,,,,,,,,,,,,
Total,,11.86,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
