Item Name,QTY,Price ($) ,Link,Alternate Links,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHT11 Sensor with LED module,1,0.6,https://robu.in/product/dht11-temperature-and-humidity-sensor-module-with-led/,https://www.amazon.in/SP-Electron-SEN50-Relative-Temperature/dp/B0GHSJTWYJ/ref=sr_1_2?crid=1YE6OIAPSPVYV&dib=eyJ2IjoiMSJ9.uaqCxgs9XB3sdVCyKPUHkUHYSAjdPOKxPV--M3h8najPV0IdL1b2AEZggEQxchKDl_T_TlVHx9SwwEidMZAkAARpVGqqe9YTdFC-IWo-fZ7k6O0bgKfYhbUJGGVxf0jKkOajK1nNtzwgj2afcRU-1RqOu7GtNiIajs-gZySgPoZN1HxzG88KgVozrrS53-mQE4U8fdiGFjvm2gEXrSkk-b5DZBZR5eQkT5ukuwJFOLqlhIZRO__3Cv-sJdcCOzuRD3qlXWXCW0Qxk2VmS7kZaHQLYwNcWx6YiUU16cVcQwA.FT-yXlgHewbDMV7ZlHX9pOt2RYTCn7gt8zFq3nq64sk&dib_tag=se&keywords=dht11+sensor&qid=1777439124&sprefix=dht11+%2Caps%2C371&sr=8-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capcitive Soil Moisture Sensor,1,0.6,https://robu.in/product/capacitive-soil-moisture-sensor-v2-0/,https://www.amazon.in/xcluma-Capacitive-Moisture-Corrosion-Resistant/dp/B0B882M8QF/ref=sr_1_8?crid=OL8OBVDSKK0E&dib=eyJ2IjoiMSJ9.g9mPuWQRinMZvXBG5QSpRy1sjnihk9JWkoLKA8oqg1xwOsBULmMnr7w00DWngYW-ElQlEffhAFwHB8Xy96llc1BHOde2rYJ0MMCErFAhglHmw4bFW42GxTeOG-7ab5hlb3gL0whPRsW4g37-c6OnOigA8z0-WHg8jXpzN2GaurIg-obR1tlTHqoN8aab6wN5aYWgAwQHApH0DxNS8VT1ZxBSneFTW8XYiUlzMl4eMLbtyESq3vQ4Y_-c26EkdHpwpc5miuUtOgyDNQdfrWdB_oLElYERhWb7BZxI-91_KxY.QxfAFQIih4bjfOId_5Ekjgpic0AzhAcRexYCKzxoA3Q&dib_tag=se&keywords=moisture+sensor&qid=1777439204&sprefix=moisture+senso%2Caps%2C402&sr=8-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1 Mini,1,1.7,https://robu.in/product/d1-mini-v2-nodemcu-4m-bytes-lua-wifi-internet-of-things-development-board-based-esp8266/,https://www.amazon.in/Robodo-D1-Mini-V2-Development/dp/B0DQXNBK48/ref=sr_1_1?crid=1K1UIWH01XBPX&dib=eyJ2IjoiMSJ9.IjsNVg9W22l0GQOTLMTwRkiEuD7ygdG51wfCVwLekTJLFxSHmqiSwVmn9B5oLRs6RcpjZULyFOLbaynyvf2LzMf8UHDyAu4RYryYf8qAJF8XKyV3u7XbLzezXYiqGv07T404mTc1yQi-czTXkvcpfqpU7jHiHr9qAuKZJsYITXk-mEQofMyuxfnz_s5pr7PVC-bL_dDCdbr-lbKtGS1ewo9wAHYlwUXvUsI_mfkBSUCw-TyFHRhF8_LGKu7f1O04u9YfTy3_1nJZiqsM3vVa3nm7LuAMGj97Yukq18eXtaU.Rs18Sa-FusBTxPNl9TePBYmYPmWyAH2lRN1xK-uTcV4&dib_tag=se&keywords=d1+mini&qid=1777439156&sprefix=d1+m%2Caps%2C442&sr=8-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jumper Wires,10,0.2,https://robu.in/product/bread-board-jumper-wire-20-cm-x-20-female-to-female/,https://www.amazon.in/Robodo-D1-Mini-V2-Development/dp/B0DQXNBK48/ref=sr_1_1?crid=1K1UIWH01XBPX&dib=eyJ2IjoiMSJ9.IjsNVg9W22l0GQOTLMTwRkiEuD7ygdG51wfCVwLekTJLFxSHmqiSwVmn9B5oLRs6RcpjZULyFOLbaynyvf2LzMf8UHDyAu4RYryYf8qAJF8XKyV3u7XbLzezXYiqGv07T404mTc1yQi-czTXkvcpfqpU7jHiHr9qAuKZJsYITXk-mEQofMyuxfnz_s5pr7PVC-bL_dDCdbr-lbKtGS1ewo9wAHYlwUXvUsI_mfkBSUCw-TyFHRhF8_LGKu7f1O04u9YfTy3_1nJZiqsM3vVa3nm7LuAMGj97Yukq18eXtaU.Rs18Sa-FusBTxPNl9TePBYmYPmWyAH2lRN1xK-uTcV4&dib_tag=se&keywords=d1+mini&qid=1777439156&sprefix=d1+m%2Caps%2C442&sr=8-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pin Headers Male,2,0.3,https://zbotic.in/product/2-54mm-1x40-pin-male-single-row-straight-short-header-strip-pack-of-3/?srsltid=,https://www.amazon.in/Electronic-Spices-Strip-Headers-Sticks/dp/B0BG7K3CGM/ref=sr_1_5?crid=37K3BLCW1G9IL&dib=eyJ2IjoiMSJ9.VFrctAD8gUG9iMUaaAH7lwzmgoK5Tm08T0cGUmHK6Kd1dTOoiyHGbiSbawvNarxvWDp4DKyXQ3EKcMIMsTTZQwQRCeF6iW3wnraEsu_iW39x3cad-zezjkTpglBuuzncXr_HfEKFdHebSVtXY0IvUMk5leEvOtWP9UovWpEza8sdBZPanUaW2pMnS98r0NRPqRIM1PgPer56HIeV92kWEOx5BnxbkpX5N-HIAAGz5J1lpPmktUC9jCcQBBbrNI_kx_gbJD34kylBAVgE9beBJ_52I9tcDtGyo4KIabiFjd0.9lRIxPEKLfuFQd9u-OxAAhHiNkrzw1GTEqYaJ2Rl8rU&dib_tag=se&keywords=pin%2Bheaders&qid=1777439279&sprefix=pin%2Bheade%2Caps%2C384&sr=8-5&th=1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Part_A (ASA),515g,5.15,https://www.hydrotech3dchennai.com/product-page/asa-filament-1-75mm-1kg-black?srsltid=AfmBOoo2sUPDoW7xXyvX4m-RwFWW_QUYlXO53ejwR8du2x80z9e4X4y3,https://www.amazon.in/Numakers-Printer-Filament-1-75mm-Spool/dp/B0G5G577J5/ref=sr_1_1?crid=KWUPID4320H9&dib=eyJ2IjoiMSJ9.lkq3FMAEKYuM5eMjpeRQuWtWDkQPw2IpKTt5yBcVVBsAYixluurgccjWeqvD73FeVqBdi3AvUd63_W7xa3LBlTM87wwlFIOLjd50jQKTgWP4LKtCiUsPqhPqMbOqUuOuoQChdw6Q9jfkVv8e-A-Fv-OWXZwMKkXj_TrGaBitVJMfkUOUFlinZ_VUFG1UaprvcSJcrgT668_Mw1bTDCD5qTJ6D5XxDTBfJQ-BsxRwQRSVMtJNkPrPnJexQJNiZs6qGxnVXLtImBFdwtgd27eFXh8Rvi7KzuhoipRvtJhYkE0.F9xOw8uqWjBhuIUdv8DT0IJR-rSJmB9VYg2-_dapnnk&dib_tag=se&keywords=ASA&qid=1777439611&s=industrial&sprefix=asa%2Cindustrial%2C365&sr=1-1&th=1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Part_B (ASA),300g,3,https://www.hydrotech3dchennai.com/product-page/asa-filament-1-75mm-1kg-black?srsltid=AfmBOoo2sUPDoW7xXyvX4m-RwFWW_QUYlXO53ejwR8du2x80z9e4X4y3,https://www.amazon.in/Numakers-Printer-Filament-1-75mm-Spool/dp/B0G5G577J5/ref=sr_1_1?crid=KWUPID4320H9&dib=eyJ2IjoiMSJ9.lkq3FMAEKYuM5eMjpeRQuWtWDkQPw2IpKTt5yBcVVBsAYixluurgccjWeqvD73FeVqBdi3AvUd63_W7xa3LBlTM87wwlFIOLjd50jQKTgWP4LKtCiUsPqhPqMbOqUuOuoQChdw6Q9jfkVv8e-A-Fv-OWXZwMKkXj_TrGaBitVJMfkUOUFlinZ_VUFG1UaprvcSJcrgT668_Mw1bTDCD5qTJ6D5XxDTBfJQ-BsxRwQRSVMtJNkPrPnJexQJNiZs6qGxnVXLtImBFdwtgd27eFXh8Rvi7KzuhoipRvtJhYkE0.F9xOw8uqWjBhuIUdv8DT0IJR-rSJmB9VYg2-_dapnnk&dib_tag=se&keywords=ASA&qid=1777439611&s=industrial&sprefix=asa%2Cindustrial%2C365&sr=1-1&th=1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moisture Sensor Encasing,6g,0.06,https://www.hydrotech3dchennai.com/product-page/asa-filament-1-75mm-1kg-black?srsltid=AfmBOoo2sUPDoW7xXyvX4m-RwFWW_QUYlXO53ejwR8du2x80z9e4X4y3,https://www.amazon.in/Numakers-Printer-Filament-1-75mm-Spool/dp/B0G5G577J5/ref=sr_1_1?crid=KWUPID4320H9&dib=eyJ2IjoiMSJ9.lkq3FMAEKYuM5eMjpeRQuWtWDkQPw2IpKTt5yBcVVBsAYixluurgccjWeqvD73FeVqBdi3AvUd63_W7xa3LBlTM87wwlFIOLjd50jQKTgWP4LKtCiUsPqhPqMbOqUuOuoQChdw6Q9jfkVv8e-A-Fv-OWXZwMKkXj_TrGaBitVJMfkUOUFlinZ_VUFG1UaprvcSJcrgT668_Mw1bTDCD5qTJ6D5XxDTBfJQ-BsxRwQRSVMtJNkPrPnJexQJNiZs6qGxnVXLtImBFdwtgd27eFXh8Rvi7KzuhoipRvtJhYkE0.F9xOw8uqWjBhuIUdv8DT0IJR-rSJmB9VYg2-_dapnnk&dib_tag=se&keywords=ASA&qid=1777439611&s=industrial&sprefix=asa%2Cindustrial%2C365&sr=1-1&th=1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC Barrel Jack,1,0.25,https://robu.in/product/dc-barrel-jack-connector-without-base-plate,https://www.amazon.in/SHOKITECH-Female-Power-Barrel-Connector/dp/B0CM7N1MQN/ref=sr_1_16?crid=YWX70Z0H9BSB&dib=eyJ2IjoiMSJ9.5VB8TvCfC_qmpELGygnk3eawqfamzt3kXE6x6m1tfmhb5wHtDWtgVv7SshH1LSQWrQJ6oiCp8wiwb3IYIlb1CPYWiZH3kwoeCTZXyVB2dEThbsdLYXaS3ip6rEUfet1451nX7h-H_RXtkpBba8DqNzxj7QeA6gAN8HChs1qUa1b-KQqfkAoi0DGLseqPWvOmQwJwpgkGZYXHFOXSVCOC9VFd8jI3JQntmAqR2SwASGmPoX0Fr9uY1gpRdojhaVwrlk6LsF_ZgDXMGKmftHdfhdOKlNtvnOM1HriVk1JJ33k.bkCBDBFfIkbUHat05x3VG3KRoob4lqLUG7BAjRPAr70&dib_tag=se&keywords=DC+barrel+jack&qid=1777439661&s=industrial&sprefix=dc+barrel+jac%2Cindustrial%2C367&sr=1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pin Headers Female,2,0.34,https://www.amazon.in/Electronic-Spices-Female-Connector-Projects/dp/B0BG7K3NGV/ref=pd_sbs_d_sccl_1_1/525-4608940-6140104?pd_rd_w=rXi7A&content-id=amzn1.sym.d1406b44-aa69-47e4-9270-f613e12d52dc&pf_rd_p=d1406b44-aa69-47e4-9270-f613e12d52dc&pf_rd_r=5KWZYBP7FH0M6PSTG6T7&pd_rd_wg=RyEeU&pd_rd_r=558a1db5-af97-4c0d-8771-ac7bba87a3ad&pd_rd_i=B0BG7K3NGV&th=1,https://www.amazon.in/SHOKITECH-Female-Power-Barrel-Connector/dp/B0CM7N1MQN/ref=sr_1_16?crid=YWX70Z0H9BSB&dib=eyJ2IjoiMSJ9.5VB8TvCfC_qmpELGygnk3eawqfamzt3kXE6x6m1tfmhb5wHtDWtgVv7SshH1LSQWrQJ6oiCp8wiwb3IYIlb1CPYWiZH3kwoeCTZXyVB2dEThbsdLYXaS3ip6rEUfet1451nX7h-H_RXtkpBba8DqNzxj7QeA6gAN8HChs1qUa1b-KQqfkAoi0DGLseqPWvOmQwJwpgkGZYXHFOXSVCOC9VFd8jI3JQntmAqR2SwASGmPoX0Fr9uY1gpRdojhaVwrlk6LsF_ZgDXMGKmftHdfhdOKlNtvnOM1HriVk1JJ33k.bkCBDBFfIkbUHat05x3VG3KRoob4lqLUG7BAjRPAr70&dib_tag=se&keywords=DC+barrel+jack&qid=1777439661&s=industrial&sprefix=dc+barrel+jac%2Cindustrial%2C367&sr=1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
